timestamp_utc,model,status,prompt_chars,prompt_tokens,completion_tokens,total_tokens,latency_ms,response_chars,estimated_cost_usd,error
2026-07-12T16:57:28Z,gpt-4.1-mini-2025-04-14,ok,1408,524,74,598,1899.67,317,0.000328,
2026-07-12T16:57:30Z,gpt-4.1-mini-2025-04-14,ok,1381,505,111,616,1829.92,404,0.0003796,
2026-07-12T16:57:30Z,gpt-4.1-mini-2025-04-14,cache_hit,1381,0,0,0,0,404,0.0,
2026-07-12T16:57:31Z,gpt-4.1-mini-2025-04-14,ok,1497,519,117,636,1834.28,492,0.0003948,
2026-07-12T16:57:33Z,gpt-4.1-mini-2025-04-14,ok_infer,1322,304,71,375,1346.92,322,0.0002352,
2026-07-12T16:57:34Z,gpt-4.1-mini-2025-04-14,ok_infer,1322,297,68,365,1417.46,292,0.0002276,
2026-07-12T16:57:35Z,gpt-4.1-mini-2025-04-14,ok_infer,1322,318,68,386,1226.65,277,0.000236,
2026-07-12T16:57:37Z,gpt-4.1-mini-2025-04-14,ok_infer,1322,295,71,366,1397.51,328,0.0002316,
2026-07-12T16:57:38Z,gpt-4.1-mini-2025-04-14,ok,2686,741,81,822,1479.47,306,0.000426,
2026-07-12T16:57:40Z,gpt-4.1-mini-2025-04-14,ok_infer,1322,293,93,386,1410.89,385,0.000266,
2026-07-12T16:57:41Z,gpt-4.1-mini-2025-04-14,ok_infer,1324,317,95,412,1700.67,331,0.0002788,
2026-07-12T16:57:43Z,gpt-4.1-mini-2025-04-14,ok_infer,1322,307,76,383,1433.55,330,0.0002444,
2026-07-12T16:57:44Z,gpt-4.1-mini-2025-04-14,ok_infer,1322,306,64,370,1362.39,298,0.0002248,
2026-07-12T16:57:46Z,gpt-4.1-mini-2025-04-14,ok_infer,1324,303,101,404,1654.97,412,0.0002828,
2026-07-12T16:57:48Z,gpt-4.1-mini-2025-04-14,ok,1307,421,105,526,1783.93,416,0.0003364,
2026-07-12T16:57:50Z,gpt-4.1-mini-2025-04-14,ok_infer,1322,325,118,443,1869.06,488,0.0003188,
2026-07-12T16:57:51Z,gpt-4.1-mini-2025-04-14,ok,1229,424,104,528,1740.2,424,0.000336,
2026-07-12T16:57:54Z,gpt-4.1-mini-2025-04-14,ok_infer,1322,432,152,584,2655.75,535,0.000416,
2026-07-12T16:57:56Z,gpt-4.1-mini-2025-04-14,ok_infer,1322,331,96,427,1573.34,345,0.000286,
2026-07-12T16:57:57Z,gpt-4.1-mini-2025-04-14,ok_infer,1322,308,76,384,1361.38,329,0.0002448,
2026-07-12T16:57:58Z,gpt-4.1-mini-2025-04-14,ok_infer,1322,300,78,378,1296.59,341,0.0002448,
2026-07-12T16:58:00Z,gpt-4.1-mini-2025-04-14,ok_infer,1322,302,75,377,1486.75,348,0.0002408,
2026-07-12T16:58:01Z,gpt-4.1-mini-2025-04-14,ok_infer,1322,344,94,438,1774.59,394,0.000288,
2026-07-12T16:58:03Z,gpt-4.1-mini-2025-04-14,ok_infer,1322,310,87,397,1435.01,355,0.0002632,
2026-07-12T16:58:04Z,gpt-4.1-mini-2025-04-14,ok,1811,493,87,580,1474.99,349,0.0003364,
2026-07-12T16:58:06Z,gpt-4.1-mini-2025-04-14,ok_infer,1322,311,61,372,1339.15,293,0.000222,
2026-07-12T16:58:08Z,gpt-4.1-mini-2025-04-14,ok,3254,728,110,838,1944.18,455,0.0004672,
2026-07-12T16:58:10Z,gpt-4.1-mini-2025-04-14,ok,1710,535,112,647,2468.0,456,0.0003932,
2026-07-12T16:58:12Z,gpt-4.1-mini-2025-04-14,ok,8315,1662,78,1740,1766.23,373,0.0007896,
2026-07-12T16:58:14Z,gpt-4.1-mini-2025-04-14,ok,1533,526,108,634,1760.47,487,0.0003832,
2026-07-12T16:58:16Z,gpt-4.1-mini-2025-04-14,ok,2457,690,101,791,2179.56,407,0.0004376,
2026-07-12T16:58:18Z,gpt-4.1-mini-2025-04-14,ok,1578,543,86,629,1815.74,385,0.0003548,
2026-07-12T16:58:19Z,gpt-4.1-mini-2025-04-14,ok,2450,618,62,680,1555.1,265,0.0003464,
2026-07-12T16:58:21Z,gpt-4.1-mini-2025-04-14,ok_infer,1322,314,101,415,1583.23,423,0.0002872,
2026-07-12T16:58:22Z,gpt-4.1-mini-2025-04-14,ok_infer,1322,316,81,397,1656.98,318,0.000256,
2026-07-12T16:58:24Z,gpt-4.1-mini-2025-04-14,ok,2112,652,94,746,1867.21,374,0.0004112,
2026-07-12T16:58:26Z,gpt-4.1-mini-2025-04-14,ok_infer,1322,304,91,395,1630.83,392,0.0002672,
2026-07-12T16:58:27Z,gpt-4.1-mini-2025-04-14,ok,3574,961,86,1047,1237.98,391,0.000522,
2026-07-12T16:58:29Z,gpt-4.1-mini-2025-04-14,ok,7018,1459,82,1541,1420.65,438,0.0007148,
2026-07-12T16:58:30Z,gpt-4.1-mini-2025-04-14,ok_infer,1322,301,81,382,1528.4,366,0.00025,
2026-07-12T16:58:32Z,gpt-4.1-mini-2025-04-14,ok,995,354,81,435,1406.04,340,0.0002712,
2026-07-12T16:58:34Z,gpt-4.1-mini-2025-04-14,ok_infer,1324,332,150,482,2070.87,516,0.0003728,
2026-07-12T16:58:35Z,gpt-4.1-mini-2025-04-14,ok,1798,608,109,717,1786.66,451,0.0004176,
2026-07-12T16:58:37Z,gpt-4.1-mini-2025-04-14,ok_infer,1322,378,98,476,1653.32,400,0.000308,
